行业,股票,时间,产权比率,保守速动比率,偿债能力指标,净利润(元),净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),成长能力指标,扣非净利润(元),扣非净利润同比增长率,每股净资产(元),每股指标,每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,盈利能力指标,营业周期(天),营业总收入(元),营业总收入同比增长率,资产负债率,运营能力指标,速动比率,销售净利率,销售毛利率
医药行业,万泽股份,2020-09-30,1.05,0.92,   ,6959.95万,-14.45%,7.14%,7.01%,0.1415,222.20,1.22,78.38,   ,2062.72万,-47.63%,2.02,   ,1.02,-0.08,--,1.15,   ,300.58,3.72亿,-7.09%,51.42%,   ,0.92,16.61%,84.06%
医药行业,万泽股份,2020-12-31,1.13,1.03,   ,7672.58万,8.56%,7.88%,7.67%,0.1560,186.24,1.93,75.01,   ,1310.56万,437.52%,2.03,   ,1.03,0.29,--,1.22,   ,261.25,5.53亿,0.70%,53.35%,   ,1.03,12.46%,85.01%
医药行业,万泽股份,2021-03-31,0.97,0.93,   ,4406.07万,-2.36%,4.31%,4.12%,0.0896,194.05,0.46,84.07,   ,3688.04万,7.25%,2.16,   ,1.12,0.09,0.04,1.14,   ,278.12,1.39亿,-18.00%,49.49%,   ,0.93,29.86%,84.08%
医药行业,万泽股份,2021-06-30,0.98,0.89,   ,6411.99万,30.72%,6.25%,6.36%,0.1298,202.36,0.89,84.32,   ,2226.94万,597.80%,2.04,   ,1.08,0.06,--,1.18,   ,286.69,2.80亿,21.24%,49.01%,   ,0.89,20.91%,80.83%
医药行业,万泽股份,2021-09-30,0.95,0.88,   ,8514.96万,22.34%,8.27%,8.24%,0.1731,173.17,1.56,81.93,   ,3648.54万,76.88%,2.09,   ,1.12,0.15,0.0094,1.17,   ,255.10,4.69亿,26.11%,48.14%,   ,0.88,16.82%,79.74%
医药行业,万泽股份,2021-12-31,0.95,0.80,   ,9529.24万,24.20%,9.20%,8.90%,0.1926,193.27,1.86,68.95,   ,4648.40万,254.69%,2.16,   ,1.16,0.28,0.06,1.14,   ,262.22,6.56亿,18.77%,48.07%,   ,0.84,13.54%,79.36%
医药行业,万泽股份,2022-03-31,1.05,0.68,   ,3265.60万,-25.88%,2.99%,2.95%,0.0654,460.12,0.20,79.52,   ,2179.00万,-40.92%,2.21,   ,1.21,-0.17,0.13,1.07,   ,539.64,1.36亿,-1.75%,50.50%,   ,0.72,23.12%,83.44%
医药行业,万泽股份,2022-06-30,1.05,0.81,   ,7454.23万,16.25%,6.71%,6.52%,0.1496,251.85,0.71,80.95,   ,6201.22万,178.46%,2.28,   ,1.24,-0.04,0.16,1.10,   ,332.80,3.75亿,33.78%,50.49%,   ,0.83,20.17%,77.99%
医药行业,万泽股份,2022-09-30,0.92,0.77,   ,9558.42万,12.25%,8.50%,8.10%,0.1922,234.44,1.15,87.42,   ,7800.90万,113.81%,2.36,   ,1.29,0.04,0.19,1.07,   ,321.86,5.81亿,23.87%,47.00%,   ,0.79,16.95%,77.15%
医药行业,万泽股份,2022-12-31,1.00,0.87,   ,1.02亿,6.74%,8.87%,8.53%,0.2033,216.31,1.66,75.30,   ,8067.21万,73.55%,2.38,   ,1.30,0.39,0.20,1.16,   ,291.61,7.94亿,20.97%,49.06%,   ,0.90,13.30%,76.85%
医药行业,万泽股份,2023-03-31,0.95,0.93,   ,5850.63万,79.16%,4.76%,4.54%,0.1169,206.80,0.44,78.89,   ,5482.33万,151.60%,2.56,   ,1.41,-0.02,0.27,1.27,   ,285.69,2.81亿,106.41%,47.75%,   ,0.96,20.33%,80.13%
医药行业,万泽股份,2023-06-30,0.97,0.86,   ,8712.01万,16.87%,6.99%,6.69%,0.1726,220.45,0.82,86.63,   ,7684.43万,23.92%,2.56,   ,1.40,0.0042,0.39,1.21,   ,307.09,4.76亿,26.94%,48.32%,   ,0.90,18.31%,75.83%
医药行业,万泽股份,2023-09-30,1.25,0.71,   ,1.22亿,28.08%,9.58%,10.07%,0.2421,217.58,1.24,94.26,   ,1.08亿,38.85%,2.39,   ,1.47,-0.04,0.42,1.01,   ,311.85,7.27亿,25.08%,54.54%,   ,0.72,17.07%,74.01%
医药行业,上海莱士,2014-12-31,0.09,7.10,   ,5.11亿,255.27%,15.76%,5.93%,0.2200,358.96,1.00,33.67,   ,4.82亿,238.26%,6.31,   ,0.61,0.34,4.59,9.77,   ,392.63,13.20亿,165.88%,8.05%,   ,7.16,38.68%,62.56%
医药行业,上海莱士,2015-03-31,0.08,13.86,   ,3.79亿,473.25%,4.30%,4.21%,0.1400,434.99,0.21,28.92,   ,1.05亿,59.58%,6.59,   ,0.89,0.05,4.60,18.45,   ,463.91,3.56亿,40.10%,7.12%,   ,13.86,107.96%,58.57%
医药行业,上海莱士,2015-06-30,0.08,19.47,   ,8.32亿,379.03%,8.99%,8.34%,0.3030,415.42,0.43,31.31,   ,2.72亿,57.02%,7.23,   ,1.11,0.21,5.02,24.01,   ,446.73,8.17亿,50.63%,7.30%,   ,19.47,103.98%,61.50%
医药行业,上海莱士,2015-09-30,0.08,20.64,   ,11.68亿,265.90%,12.31%,11.32%,0.2370,336.28,0.80,22.52,   ,5.51亿,85.93%,3.74,   ,0.68,0.19,2.02,24.76,   ,358.80,14.92亿,80.59%,7.29%,   ,20.64,80.18%,61.94%
医药行业,上海莱士,2015-12-31,0.08,16.51,   ,14.42亿,182.35%,14.88%,13.53%,0.2910,326.65,1.10,20.93,   ,6.82亿,41.61%,3.86,   ,0.74,0.28,2.05,19.46,   ,347.57,20.13亿,52.56%,7.30%,   ,16.51,73.53%,61.38%
医药行业,上海莱士,2016-03-31,0.07,25.47,   ,3.12亿,-17.52%,2.89%,2.85%,0.0630,468.75,0.19,23.63,   ,2.26亿,116.13%,3.98,   ,0.85,0.05,2.05,30.01,   ,492.38,4.87亿,36.70%,6.57%,   ,25.47,66.14%,70.97%
医药行业,上海莱士,2016-06-30,0.10,9.70,   ,6.49亿,-22.01%,5.91%,5.80%,0.1300,363.86,0.49,22.57,   ,4.25亿,55.99%,4.05,   ,0.92,0.11,2.05,11.21,   ,386.43,10.39亿,27.19%,9.18%,   ,9.70,64.54%,65.31%
医药行业,上海莱士,2016-09-30,0.10,11.15,   ,12.33亿,5.63%,10.99%,10.48%,0.2490,346.87,0.78,33.67,   ,6.47亿,17.34%,2.37,   ,0.63,0.10,0.70,12.73,   ,380.54,16.17亿,8.36%,9.12%,   ,11.15,78.29%,64.33%
医药行业,上海莱士,2016-12-31,0.13,6.03,   ,16.13亿,11.84%,14.16%,13.78%,0.3300,324.12,1.11,37.55,   ,8.99亿,31.76%,2.36,   ,0.69,0.13,0.60,6.97,   ,361.67,23.26亿,15.54%,11.31%,   ,6.03,70.95%,63.74%
医药行业,上海莱士,2017-03-31,0.16,8.27,   ,2.22亿,-28.85%,1.88%,1.86%,0.0450,535.71,0.17,80.24,   ,1.53亿,-32.13%,2.41,   ,0.74,-0.03,0.61,9.65,   ,615.95,4.02亿,-17.48%,14.06%,   ,8.27,55.01%,64.44%
医药行业,上海莱士,2017-06-30,0.14,7.24,   ,7.09亿,9.30%,5.88%,5.76%,0.1400,483.22,0.37,106.70,   ,2.72亿,-36.05%,2.48,   ,0.81,0.0100,0.61,8.71,   ,589.93,8.67亿,-16.49%,12.04%,   ,7.24,81.54%,62.21%
医药行业,上海莱士,2017-09-30,0.13,8.15,   ,9.40亿,-23.78%,7.79%,7.49%,0.1900,461.14,0.59,122.45,   ,4.90亿,-24.20%,2.52,   ,0.85,0.04,0.61,9.64,   ,583.60,14.68亿,-9.23%,11.48%,   ,8.15,63.96%,63.62%
医药行业,上海莱士,2017-12-31,0.16,8.67,   ,8.36亿,-48.19%,6.93%,6.71%,0.1700,503.43,0.72,123.47,   ,6.15亿,-31.55%,2.51,   ,0.82,0.05,0.61,10.45,   ,626.90,19.28亿,-17.13%,13.66%,   ,8.67,43.16%,63.69%
医药行业,上海莱士,2018-03-31,0.15,7.75,   ,-6.89亿,-410.19%,-5.68%,-5.84%,-0.1400,"1,088.27",0.08,269.87,   ,7055.48万,-54.03%,2.37,   ,0.68,-0.0100,0.62,9.99,   ,"1,358.14",3.17亿,-20.97%,13.11%,   ,7.75,-217.64%,67.69%
医药行业,上海莱士,2018-06-30,0.16,6.63,   ,-8.47亿,-219.51%,-7.03%,-7.32%,-0.1700,715.99,0.25,182.26,   ,3.07亿,12.82%,2.33,   ,0.63,0.02,0.62,8.80,   ,898.25,9.61亿,10.77%,13.68%,   ,6.63,-88.52%,66.78%
医药行业,上海莱士,2018-09-30,0.04,6.92,   ,-12.93亿,-237.51%,-10.95%,-11.63%,-0.2600,763.79,0.35,188.92,   ,4.08亿,-16.76%,2.24,   ,0.54,0.04,0.62,11.47,   ,952.71,14.09亿,-3.99%,3.60%,   ,6.92,-91.93%,66.44%
医药行业,上海莱士,2018-12-31,0.05,5.23,   ,-15.18亿,-281.66%,-12.99%,-13.96%,-0.3100,850.66,0.42,179.13,   ,1.55亿,-74.86%,2.19,   ,0.49,0.05,0.62,9.21,   ,"1,029.79",18.04亿,-6.41%,4.35%,   ,5.23,-84.42%,66.74%
医药行业,上海莱士,2019-03-31,0.03,8.81,   ,2.19亿,131.74%,1.99%,1.97%,0.0440,757.58,0.12,128.33,   ,2.04亿,188.90%,2.23,   ,0.54,0.02,0.62,15.78,   ,885.91,5.85亿,84.15%,2.80%,   ,8.81,37.25%,65.26%
医药行业,上海莱士,2019-06-30,0.03,8.60,   ,4.13亿,148.75%,3.73%,3.66%,0.0830,660.55,0.27,115.81,   ,4.07亿,32.74%,2.27,   ,0.58,0.07,0.62,14.78,   ,776.36,12.97亿,35.01%,3.00%,   ,8.60,31.74%,63.92%
医药行业,上海莱士,2019-09-30,0.03,9.32,   ,6.06亿,146.87%,5.42%,5.28%,0.1220,699.12,0.39,110.61,   ,6.04亿,47.92%,2.31,   ,0.62,0.13,0.62,16.14,   ,809.73,19.16亿,35.96%,2.79%,   ,9.32,31.57%,64.53%
医药行业,上海莱士,2019-12-31,0.03,7.81,   ,6.08亿,140.04%,5.43%,5.30%,0.1200,698.35,0.52,105.71,   ,5.98亿,286.63%,2.31,   ,0.61,0.18,0.62,14.64,   ,804.06,25.85亿,43.27%,3.05%,   ,8.40,23.44%,64.15%
医药行业,上海莱士,2020-03-31,0.01,9.65,   ,3.11亿,41.97%,1.94%,1.24%,0.0560,682.85,0.13,77.79,   ,3.27亿,60.21%,3.72,   ,0.49,0.08,2.16,16.68,   ,760.65,7.32亿,25.18%,1.33%,   ,10.09,42.23%,65.90%
医药行业,上海莱士,2020-06-30,0.01,9.41,   ,6.97亿,68.70%,3.37%,2.75%,0.1130,796.81,0.23,86.26,   ,7.10亿,74.52%,3.76,   ,0.54,0.08,2.16,16.99,   ,883.07,13.09亿,0.94%,1.32%,   ,9.96,53.00%,65.87%
医药行业,上海莱士,2020-09-30,0.01,12.11,   ,10.96亿,80.80%,4.91%,4.24%,0.1730,717.32,0.38,86.79,   ,10.87亿,80.07%,3.83,   ,0.60,0.11,2.16,21.72,   ,804.11,20.38亿,6.38%,1.07%,   ,12.87,53.60%,63.06%
医药行业,上海莱士,2020-12-31,0.01,7.94,   ,13.24亿,117.75%,5.83%,5.27%,0.2100,698.76,0.52,70.61,   ,13.17亿,120.13%,3.73,   ,0.62,0.17,2.16,15.18,   ,769.37,27.62亿,6.84%,1.43%,   ,8.47,47.75%,61.98%
医药行业,上海莱士,2021-03-31,0.01,10.82,   ,4.26亿,37.14%,1.68%,1.66%,0.0630,539.89,0.17,41.79,   ,4.62亿,41.36%,3.80,   ,0.68,0.04,2.16,20.49,   ,581.68,8.54亿,16.71%,1.10%,   ,11.80,49.71%,58.28%
医药行业,上海莱士,2021-06-30,0.03,3.97,   ,9.10亿,30.67%,3.57%,3.54%,0.1350,568.36,0.32,45.22,   ,9.24亿,30.09%,3.82,   ,0.73,0.08,2.16,7.74,   ,613.58,17.56亿,34.10%,2.99%,   ,4.22,51.74%,57.19%
医药行业,上海莱士,2021-09-30,0.05,2.70,   ,13.96亿,27.44%,5.43%,5.32%,0.2070,485.70,0.56,44.39,   ,14.17亿,30.40%,3.90,   ,0.80,0.18,2.16,4.98,   ,530.08,30.47亿,49.48%,5.09%,   ,2.82,45.72%,53.79%
医药行业,上海莱士,2021-12-31,0.05,2.63,   ,12.95亿,-2.21%,5.08%,5.00%,0.1900,465.06,0.77,36.58,   ,13.69亿,3.96%,3.84,   ,0.78,0.19,2.16,5.26,   ,501.63,42.88亿,55.26%,4.89%,   ,2.77,30.06%,51.83%
医药行业,上海莱士,2022-03-31,0.05,3.03,   ,5.48亿,28.63%,2.10%,2.08%,0.0810,304.98,0.30,31.39,   ,5.87亿,27.06%,3.91,   ,0.86,0.06,2.16,5.57,   ,336.37,16.85亿,97.32%,4.75%,   ,3.19,32.39%,45.69%
医药行业,上海莱士,2022-06-30,0.06,2.82,   ,10.61亿,16.55%,3.96%,3.86%,0.1570,306.64,0.59,32.92,   ,10.59亿,14.60%,4.07,   ,0.91,0.11,2.16,5.28,   ,339.56,32.94亿,87.59%,5.31%,   ,2.98,32.12%,44.63%
医药行业,上海莱士,2022-09-30,0.05,2.94,   ,16.04亿,14.87%,5.86%,5.57%,0.2380,310.59,0.87,34.39,   ,16.01亿,12.97%,4.27,   ,0.99,0.18,2.16,5.58,   ,344.99,49.52亿,62.53%,4.78%,   ,3.10,32.30%,45.13%
医药行业,上海莱士,2022-12-31,0.06,3.03,   ,18.80亿,45.24%,6.87%,6.52%,0.2800,316.18,1.14,32.20,   ,18.26亿,33.40%,4.28,   ,1.01,0.26,2.16,5.22,   ,348.38,65.67亿,53.16%,5.40%,   ,3.16,28.52%,44.16%
医药行业,上海莱士,2023-03-31,0.06,3.24,   ,7.19亿,31.12%,2.47%,2.45%,0.1070,245.50,0.37,26.83,   ,7.08亿,20.77%,4.35,   ,1.12,0.16,2.16,5.25,   ,272.33,20.63亿,22.40%,5.38%,   ,3.36,34.82%,43.73%
医药行业,上海莱士,2023-06-30,0.06,3.09,   ,12.39亿,16.77%,4.17%,4.07%,0.1840,258.32,0.70,28.56,   ,12.01亿,13.43%,4.51,   ,1.17,0.21,2.16,5.03,   ,286.88,39.01亿,18.43%,5.46%,   ,3.19,31.73%,42.55%
医药行业,上海莱士,2023-09-30,0.07,2.37,   ,17.88亿,11.46%,6.01%,6.00%,0.2660,259.89,1.04,30.98,   ,18.05亿,12.73%,4.42,   ,1.25,0.29,2.14,4.07,   ,290.87,59.35亿,19.87%,6.55%,   ,2.42,30.08%,41.92%
医药行业,东北制药,2014-12-31,2.18,0.68,   ,8707.50万,152.15%,4.37%,3.27%,0.2200,124.12,2.90,53.34,   ,-876.25万,95.80%,5.61,   ,0.68,0.10,3.73,0.94,   ,177.46,43.33亿,11.96%,67.79%,   ,0.68,1.93%,31.53%
医药行业,东北制药,2015-03-31,2.35,0.68,   ,-3097.21万,-148.48%,-1.17%,-1.18%,-0.0700,118.36,0.76,70.93,   ,-3275.11万,-36.56%,5.55,   ,0.61,-0.12,3.73,0.95,   ,189.29,10.53亿,-9.52%,69.41%,   ,0.68,-2.90%,27.84%
医药行业,东北制药,2015-06-30,2.35,0.66,   ,-8612.60万,-209.88%,-3.29%,-3.34%,-0.1800,114.91,1.57,72.17,   ,-9016.25万,-768.26%,5.43,   ,0.50,-0.26,3.73,0.90,   ,187.08,21.17亿,-10.25%,69.34%,   ,0.66,-3.99%,28.77%
医药行业,东北制药,2015-09-30,2.44,0.59,   ,-2.22亿,-478.96%,-8.70%,-9.07%,-0.4700,115.50,2.34,70.85,   ,-2.33亿,-667.76%,5.16,   ,0.21,-0.33,3.74,0.82,   ,186.35,29.88亿,-9.88%,70.12%,   ,0.59,-7.37%,28.23%
医药行业,东北制药,2015-12-31,2.75,0.62,   ,-3.84亿,-541.41%,-15.53%,-16.79%,-0.8100,117.54,3.06,67.84,   ,-3.77亿,-4203.25%,4.82,   ,-0.13,0.21,3.75,0.84,   ,185.38,38.34亿,-11.51%,72.38%,   ,0.62,-10.23%,26.53%
医药行业,东北制药,2016-03-31,2.95,0.68,   ,-417.95万,86.51%,-0.19%,-0.18%,-0.0100,91.70,0.98,62.82,   ,-713.11万,78.23%,4.81,   ,-0.14,-0.10,3.75,0.89,   ,154.52,12.49亿,18.69%,73.75%,   ,0.68,-0.27%,32.03%
医药行业,东北制药,2016-06-30,3.18,0.72,   ,314.53万,103.65%,0.14%,0.14%,0.0100,99.65,1.81,66.49,   ,-491.12万,94.55%,4.83,   ,-0.13,0.16,3.75,0.98,   ,166.14,24.04亿,13.59%,75.13%,   ,0.72,0.29%,31.63%
医药行业,东北制药,2016-09-30,3.21,0.74,   ,607.81万,102.74%,0.27%,0.26%,0.0100,92.52,2.92,70.89,   ,-1315.00万,94.35%,4.84,   ,-0.12,-0.0021,3.75,0.99,   ,163.41,37.35亿,24.99%,75.29%,   ,0.74,0.29%,30.73%
医药行业,东北制药,2016-12-31,3.18,0.69,   ,2378.81万,106.19%,1.03%,1.03%,0.0500,106.74,3.37,67.75,   ,-1120.95万,97.03%,4.88,   ,-0.08,0.81,3.75,1.02,   ,174.49,48.14亿,25.56%,75.14%,   ,0.69,0.55%,31.56%
医药行业,东北制药,2017-03-31,3.23,0.72,   ,1087.54万,360.21%,0.47%,0.47%,0.0200,101.39,0.89,72.14,   ,716.53万,200.48%,4.90,   ,-0.06,0.23,3.75,1.03,   ,173.52,14.51亿,16.14%,75.40%,   ,0.72,0.89%,33.75%
医药行业,东北制药,2017-06-30,3.18,0.73,   ,3969.47万,1162.03%,1.70%,1.69%,0.0800,112.39,1.60,76.14,   ,3268.64万,765.55%,4.96,   ,0.0012,-0.43,3.75,1.02,   ,188.53,27.66亿,15.02%,75.09%,   ,0.73,1.55%,35.03%
医药行业,东北制药,2017-09-30,3.25,0.75,   ,7986.09万,1213.92%,3.39%,3.34%,0.1680,106.94,2.52,81.47,   ,6914.85万,625.84%,5.04,   ,0.08,-0.23,3.75,1.00,   ,188.42,41.91亿,12.22%,75.44%,   ,0.75,2.00%,35.80%
医药行业,东北制药,2017-12-31,3.31,0.63,   ,1.19亿,400.23%,5.01%,4.89%,0.2500,128.26,2.81,79.15,   ,1.15亿,1121.65%,5.13,   ,0.17,-0.63,3.75,0.92,   ,207.41,56.76亿,17.90%,75.95%,   ,0.63,1.62%,39.54%
医药行业,东北制药,2018-03-31,3.51,0.62,   ,5222.48万,380.21%,2.12%,2.10%,0.1100,105.97,0.85,77.78,   ,4735.58万,560.91%,5.24,   ,0.28,-0.15,3.75,0.89,   ,183.75,19.79亿,36.39%,77.05%,   ,0.62,2.65%,40.51%
医药行业,东北制药,2018-06-30,2.38,0.67,   ,1.00亿,152.00%,4.67%,3.45%,0.2000,121.56,1.48,75.95,   ,1.06亿,223.10%,5.93,   ,0.34,-0.38,4.41,0.99,   ,197.52,37.49亿,35.54%,69.66%,   ,0.67,3.21%,40.91%
医药行业,东北制药,2018-09-30,2.46,0.65,   ,1.57亿,96.23%,6.24%,4.58%,0.2000,114.71,2.35,81.59,   ,1.35亿,95.74%,6.00,   ,0.42,-0.02,4.41,0.94,   ,196.30,56.17亿,34.02%,70.37%,   ,0.65,2.87%,41.01%
医药行业,东北制药,2018-12-31,2.34,0.62,   ,1.95亿,64.04%,6.33%,5.62%,0.2400,107.91,3.34,78.73,   ,4216.95万,-63.18%,6.09,   ,0.45,0.50,4.43,0.84,   ,186.64,74.67亿,31.54%,69.34%,   ,0.62,2.70%,41.38%
医药行业,东北制药,2019-03-31,2.23,0.65,   ,5751.51万,10.13%,1.56%,1.52%,0.0600,101.10,0.89,85.08,   ,5332.98万,12.62%,6.24,   ,0.51,-0.24,4.52,0.87,   ,186.18,21.34亿,7.84%,68.32%,   ,0.65,2.77%,45.35%
医药行业,东北制药,2019-06-30,2.16,0.49,   ,1.19亿,18.92%,3.25%,3.10%,0.0890,100.19,1.80,84.05,   ,1.06亿,0.47%,6.33,   ,0.49,-0.34,4.59,0.76,   ,184.24,41.10亿,9.65%,67.68%,   ,0.56,2.92%,44.73%
