行业,股票,时间,产权比率,保守速动比率,偿债能力指标,净利润(元),净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),成长能力指标,扣非净利润(元),扣非净利润同比增长率,每股净资产(元),每股指标,每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,盈利能力指标,营业周期(天),营业总收入(元),营业总收入同比增长率,资产负债率,运营能力指标,速动比率,销售净利率,销售毛利率
医药行业,ST太安,2016-03-31,0.41,1.36,   ,3819.78万,10.08%,0.86%,0.86%,0.0500,586.32,0.15,42.88,   ,3686.73万,7.79%,5.76,   ,0.92,-0.18,3.83,5.42,   ,629.20,6.36亿,87.96%,28.62%,   ,1.36,6.29%,25.52%
医药行业,ST太安,2016-06-30,0.43,1.00,   ,8608.24万,15.15%,1.93%,1.92%,0.1100,531.91,0.34,38.88,   ,7197.36万,-2.23%,5.82,   ,0.96,-0.34,3.83,4.79,   ,570.79,13.84亿,55.14%,29.75%,   ,1.00,6.48%,24.21%
医药行业,ST太安,2016-09-30,0.42,0.86,   ,1.64亿,21.06%,3.66%,3.60%,0.2100,538.92,0.50,39.90,   ,1.49亿,-11.67%,5.92,   ,1.06,-0.48,3.83,5.04,   ,578.82,21.64亿,34.49%,28.90%,   ,0.86,7.89%,26.22%
医药行业,ST太安,2016-12-31,0.46,0.92,   ,2.43亿,27.98%,5.38%,5.24%,0.3200,481.86,0.75,41.65,   ,2.21亿,19.00%,6.02,   ,1.15,-0.15,3.82,3.87,   ,523.52,30.75亿,29.68%,31.07%,   ,0.92,8.22%,27.00%
医药行业,ST太安,2017-03-31,0.51,0.66,   ,5036.42万,31.85%,1.08%,1.07%,0.0700,467.29,0.19,54.28,   ,4918.51万,33.41%,6.08,   ,1.21,0.09,3.82,3.25,   ,521.57,7.64亿,20.20%,33.17%,   ,0.66,6.80%,25.68%
医药行业,ST太安,2017-06-30,0.55,0.61,   ,1.14亿,31.97%,2.42%,2.40%,0.1500,458.48,0.39,53.86,   ,1.10亿,53.51%,6.15,   ,1.27,0.05,3.82,2.82,   ,512.35,15.78亿,13.99%,35.02%,   ,0.61,7.44%,26.77%
医药行业,ST太安,2017-09-30,0.63,0.45,   ,2.05亿,25.11%,4.35%,4.26%,0.2700,521.64,0.52,55.86,   ,1.92亿,28.49%,6.27,   ,1.39,0.10,3.82,2.28,   ,577.50,22.15亿,2.36%,38.06%,   ,0.45,9.50%,30.25%
医药行业,ST太安,2017-12-31,0.64,0.55,   ,2.90亿,19.34%,6.09%,5.91%,0.3800,467.71,0.77,57.96,   ,2.48亿,12.39%,6.39,   ,1.48,0.10,3.83,2.22,   ,525.67,32.39亿,5.32%,38.36%,   ,0.55,9.09%,29.93%
医药行业,ST太安,2018-03-31,0.66,0.51,   ,5567.02万,10.54%,1.13%,1.12%,0.0700,611.83,0.15,76.91,   ,5555.73万,12.96%,6.46,   ,1.55,-0.06,3.83,2.15,   ,688.74,6.80亿,-11.00%,39.19%,   ,0.51,8.54%,33.99%
医药行业,ST太安,2018-06-30,0.65,0.49,   ,6844.99万,-39.74%,1.38%,1.37%,0.0900,523.26,0.34,70.65,   ,6806.95万,-38.39%,6.48,   ,1.57,-0.0059,3.83,2.20,   ,593.91,15.47亿,-1.97%,38.79%,   ,0.49,4.65%,30.96%
医药行业,ST太安,2018-09-30,0.65,0.50,   ,1.54亿,-24.83%,3.09%,3.05%,0.2000,541.73,0.50,71.70,   ,1.53亿,-20.29%,6.60,   ,1.68,0.03,3.83,2.23,   ,613.44,23.25亿,4.99%,38.96%,   ,0.50,6.92%,33.32%
医药行业,ST太安,2018-12-31,0.65,0.77,   ,2.71亿,-6.72%,5.36%,5.22%,0.3500,413.13,0.87,59.15,   ,3915.94万,-84.23%,6.77,   ,1.81,0.14,3.83,2.01,   ,472.27,33.15亿,2.36%,38.69%,   ,0.77,8.30%,27.77%
医药行业,ST太安,2019-03-31,0.66,0.74,   ,3567.37万,-35.92%,0.69%,0.68%,0.0500,395.43,0.23,58.44,   ,3298.04万,-40.64%,6.81,   ,1.86,0.0095,3.83,2.10,   ,453.87,8.04亿,18.25%,39.00%,   ,0.74,5.08%,28.50%
医药行业,ST太安,2019-06-30,0.66,0.64,   ,4320.72万,-36.88%,0.83%,0.83%,0.0600,344.43,0.52,49.82,   ,2394.99万,-64.82%,6.75,   ,1.80,0.32,3.83,2.09,   ,394.25,17.85亿,15.37%,39.04%,   ,0.64,2.69%,23.67%
医药行业,ST太安,2019-09-30,0.65,0.63,   ,7842.12万,-49.22%,1.50%,1.50%,0.1000,338.73,0.80,49.40,   ,5951.87万,-61.07%,6.80,   ,1.84,0.47,3.83,2.08,   ,388.13,27.57亿,18.58%,38.70%,   ,0.63,3.23%,24.67%
医药行业,ST太安,2019-12-31,0.65,0.47,   ,9609.39万,-64.53%,1.84%,1.84%,0.1300,315.26,1.14,54.01,   ,3539.62万,-9.61%,6.82,   ,1.86,0.44,3.83,1.93,   ,369.27,40.13亿,21.05%,38.70%,   ,0.47,2.54%,24.41%
医药行业,ST太安,2020-03-31,0.70,0.45,   ,1564.96万,-56.13%,0.30%,0.30%,0.0200,466.56,0.19,81.46,   ,-1353.08万,-141.03%,6.84,   ,1.88,-0.24,3.83,1.81,   ,548.03,7.48亿,-7.06%,40.27%,   ,0.45,2.40%,25.11%
医药行业,ST太安,2020-06-30,0.71,0.28,   ,2643.32万,-38.82%,0.50%,0.50%,0.0300,440.74,0.41,70.99,   ,-471.06万,-119.67%,6.84,   ,1.88,-0.27,3.83,1.27,   ,511.73,16.38亿,-8.21%,40.68%,   ,0.28,1.85%,26.92%
医药行业,ST太安,2020-09-30,0.67,0.26,   ,4052.85万,-48.32%,0.77%,0.77%,0.0500,436.68,0.62,70.21,   ,399.78万,-93.28%,6.86,   ,1.90,-0.29,3.83,1.30,   ,506.89,25.24亿,-8.46%,39.35%,   ,0.26,1.94%,27.36%
医药行业,ST太安,2020-12-31,0.70,0.23,   ,2222.57万,-76.87%,0.42%,0.42%,0.0300,412.61,0.87,62.27,   ,-3228.47万,-191.21%,6.83,   ,1.87,-0.21,3.83,1.31,   ,474.88,35.82亿,-10.74%,40.28%,   ,0.23,0.75%,26.01%
医药行业,ST太安,2021-03-31,0.68,0.22,   ,-5918.54万,-478.19%,-1.14%,-1.14%,-0.0800,483.35,0.19,63.08,   ,-6354.70万,-369.65%,6.75,   ,1.79,0.28,3.83,1.31,   ,546.43,7.76亿,3.80%,39.67%,   ,0.22,-8.53%,22.01%
医药行业,ST太安,2021-06-30,0.40,0.43,   ,5.20亿,1865.72%,9.45%,9.05%,0.6800,582.15,0.31,71.90,   ,-1.35亿,-2770.39%,7.49,   ,2.55,0.55,3.81,2.20,   ,654.04,12.39亿,-24.34%,28.33%,   ,0.43,40.66%,25.05%
医药行业,ST太安,2021-09-30,0.40,0.46,   ,5.53亿,1263.81%,10.02%,9.57%,0.7200,782.84,0.34,97.53,   ,-1.61亿,-4115.45%,7.53,   ,2.59,0.73,3.81,2.36,   ,880.36,14.46亿,-42.70%,28.28%,   ,0.46,37.76%,28.00%
医药行业,ST太安,2021-12-31,0.69,0.57,   ,-8.03亿,-3714.24%,-16.61%,-18.12%,-1.0500,645.39,0.56,76.04,   ,-7.70亿,-2286.42%,5.78,   ,0.82,1.09,3.83,2.24,   ,721.43,22.64亿,-36.79%,39.91%,   ,0.57,-36.74%,23.37%
医药行业,ST太安,2022-03-31,0.68,0.55,   ,-3735.36万,36.89%,-0.85%,-0.85%,-0.0500,"2,179.18",0.04,192.39,   ,-3535.44万,44.36%,5.73,   ,0.77,0.02,3.83,2.23,   ,"2,371.57",1.91亿,-75.35%,39.81%,   ,0.55,-21.57%,35.96%
医药行业,ST太安,2022-06-30,0.70,0.63,   ,-1.13亿,-121.81%,-2.59%,-2.62%,-0.1500,"1,271.19",0.14,172.73,   ,-1.07亿,20.86%,5.64,   ,0.67,0.07,3.83,2.20,   ,"1,443.91",5.10亿,-58.87%,40.33%,   ,0.63,-25.33%,20.27%
医药行业,ST太安,2022-09-30,0.71,0.60,   ,-1.45亿,-126.29%,-3.33%,-3.38%,-0.1900,"1,464.21",0.18,188.26,   ,-1.43亿,10.78%,5.60,   ,0.63,0.07,3.83,2.18,   ,"1,652.47",6.98亿,-51.72%,40.72%,   ,0.60,-23.48%,23.83%
医药行业,ST太安,2022-12-31,0.78,0.52,   ,-8.23亿,-2.43%,-19.80%,-22.77%,-1.0700,"2,146.69",0.17,181.78,   ,-8.09亿,-5.03%,4.71,   ,-0.25,0.29,3.83,1.89,   ,"2,328.47",7.25亿,-67.99%,43.21%,   ,0.52,-117.76%,38.96%
医药行业,ST太安,2023-03-31,0.75,0.49,   ,-6144.38万,-64.49%,-1.71%,-1.73%,-0.0800,"1,803.61",0.05,198.54,   ,-7096.33万,-100.72%,4.64,   ,-0.33,-0.05,3.83,1.99,   ,"2,002.15",1.39亿,-27.16%,42.26%,   ,0.49,-44.87%,17.10%
医药行业,ST太安,2023-06-30,0.77,0.54,   ,-1.06亿,6.39%,-2.98%,-3.03%,-0.1400,"2,208.59",0.08,219.24,   ,-1.21亿,-13.45%,4.57,   ,-0.39,0.03,3.83,1.96,   ,"2,427.83",2.61亿,-48.77%,42.80%,   ,0.54,-41.88%,28.22%
医药行业,ST太安,2023-09-30,0.77,0.54,   ,-2.54亿,-74.54%,-7.27%,-7.55%,-0.3300,"2,205.88",0.12,216.09,   ,-2.45亿,-70.75%,4.38,   ,-0.58,-0.15,3.83,2.00,   ,"2,421.97",3.78亿,-45.86%,42.72%,   ,0.54,-69.25%,25.87%
医药行业,ST康美,1997-12-31,1.87,0.16,   ,791.98万,--,--,13.04%,--,231.30,1.56,--,   ,--,--,1.15,   ,0.13,--,--,0.54,   ,231.30,8194.20万,--,64.13%,   ,0.16,10.46%,17.90%
医药行业,ST康美,1998-12-31,1.79,0.35,   ,1267.34万,60.02%,--,17.27%,--,100.37,3.59,--,   ,--,--,1.39,   ,0.33,--,--,0.74,   ,100.37,1.85亿,126.05%,62.94%,   ,0.35,7.38%,13.58%
医药行业,ST康美,1999-12-31,1.24,0.56,   ,2017.72万,59.21%,--,21.56%,--,60.44,5.96,--,   ,--,--,1.77,   ,0.66,0.57,--,1.17,   ,60.44,3.29亿,77.50%,51.03%,   ,0.56,7.71%,13.42%
医药行业,ST康美,2000-06-30,--,--,   ,1236.05万,--,--,--,--,--,--,--,   ,--,--,--,   ,--,--,--,--,   ,--,1.78亿,--,--,   ,--,6.94%,20.29%
医药行业,ST康美,2000-12-31,1.22,0.63,   ,2455.27万,21.69%,20.79%,23.62%,--,69.37,5.19,--,   ,2458.86万,--,1.97,   ,0.78,0.19,--,1.35,   ,69.37,3.52亿,7.18%,55.04%,   ,0.65,6.97%,20.46%
医药行业,ST康美,2001-06-30,0.43,3.33,   ,1555.96万,25.88%,6.08%,4.63%,0.2400,80.96,2.22,55.16,   ,1357.21万,--,4.75,   ,0.80,-0.28,2.80,3.64,   ,136.12,1.91亿,7.31%,30.25%,   ,2.68,8.14%,19.33%
医药行业,ST康美,2001-12-31,0.42,1.84,   ,2915.69万,18.75%,9.62%,7.99%,0.4400,82.73,4.35,57.07,   ,2925.02万,18.96%,5.16,   ,0.73,0.22,3.22,2.00,   ,139.80,3.81亿,8.06%,29.46%,   ,1.45,7.66%,20.27%
医药行业,ST康美,2002-03-31,0.42,1.51,   ,806.44万,--,--,2.16%,--,99.51,0.90,53.72,   ,--,--,5.27,   ,0.85,--,3.22,1.71,   ,153.23,9625.46万,--,29.54%,   ,1.16,8.38%,23.30%
医药行业,ST康美,2002-06-30,0.40,1.41,   ,2608.36万,67.64%,--,6.67%,0.3680,97.60,1.84,54.03,   ,1808.51万,33.25%,5.53,   ,1.10,0.55,3.22,1.58,   ,151.64,1.99亿,4.27%,28.57%,   ,1.03,13.09%,23.73%
医药行业,ST康美,2002-09-30,0.31,1.28,   ,3649.63万,--,--,9.09%,--,97.35,2.77,52.24,   ,2849.89万,--,5.67,   ,1.25,--,3.22,1.53,   ,149.59,3.01亿,--,23.73%,   ,0.84,12.14%,24.00%
医药行业,ST康美,2002-12-31,0.61,1.06,   ,4383.27万,50.33%,11.33%,11.20%,0.6190,105.69,3.41,55.17,   ,4184.43万,43.06%,5.53,   ,1.01,0.76,3.22,1.26,   ,160.86,4.11亿,7.93%,37.86%,   ,0.72,10.67%,25.19%
医药行业,ST康美,2003-03-31,0.59,1.12,   ,990.23万,22.79%,--,2.47%,--,120.64,0.75,57.40,   ,--,--,5.67,   ,1.15,0.24,3.22,1.34,   ,178.04,1.01亿,4.79%,37.02%,   ,0.79,9.82%,26.75%
医药行业,ST康美,2003-06-30,0.61,1.20,   ,2554.27万,-2.07%,6.32%,6.13%,0.3610,107.09,1.68,51.28,   ,2582.26万,42.78%,5.89,   ,1.37,0.65,3.22,1.39,   ,158.37,2.29亿,14.93%,37.79%,   ,0.88,11.16%,27.03%
医药行业,ST康美,2003-09-30,0.59,1.33,   ,3533.94万,-3.17%,--,8.29%,--,106.02,2.55,54.51,   ,--,--,6.03,   ,1.51,0.90,3.22,1.47,   ,160.52,3.38亿,12.60%,37.27%,   ,0.98,10.44%,27.24%
医药行业,ST康美,2003-12-31,0.59,0.96,   ,5120.41万,16.82%,12.03%,11.57%,0.7230,106.59,3.38,53.16,   ,5069.31万,21.15%,6.25,   ,1.63,1.10,3.22,1.11,   ,159.75,4.64亿,13.02%,37.22%,   ,0.69,11.02%,27.80%
医药行业,ST康美,2004-03-31,0.72,1.00,   ,1049.93万,6.03%,--,2.31%,--,119.24,0.75,59.65,   ,1057.25万,--,6.41,   ,1.77,0.09,3.23,1.16,   ,178.89,1.09亿,7.93%,41.88%,   ,0.74,9.64%,28.43%
医药行业,ST康美,2004-06-30,0.62,0.98,   ,3215.76万,25.90%,7.02%,6.80%,0.3030,108.91,1.65,50.67,   ,3155.54万,22.20%,4.45,   ,1.30,0.28,1.88,1.22,   ,159.58,2.59亿,13.29%,38.19%,   ,0.68,12.40%,29.68%
医药行业,ST康美,2004-09-30,0.68,1.11,   ,5144.54万,45.58%,--,10.45%,--,108.28,2.49,49.94,   ,5157.75万,--,4.63,   ,1.48,0.51,1.88,1.46,   ,158.22,4.06亿,20.04%,40.38%,   ,0.79,12.66%,30.44%
医药行业,ST康美,2004-12-31,0.67,0.98,   ,7121.01万,39.07%,14.93%,13.91%,0.6710,106.48,3.38,49.20,   ,6881.17万,35.74%,4.82,   ,1.57,0.74,1.88,1.20,   ,155.68,5.53亿,19.08%,40.06%,   ,0.67,12.87%,30.84%
医药行业,ST康美,2005-03-31,0.66,0.76,   ,1502.67万,43.12%,--,2.85%,--,127.17,0.71,--,   ,1466.47万,38.71%,4.96,   ,1.71,0.26,1.88,1.28,   ,127.17,1.33亿,21.76%,39.60%,   ,0.76,11.34%,31.43%
医药行业,ST康美,2005-06-30,0.63,1.04,   ,3502.15万,8.91%,6.65%,6.60%,0.3300,120.30,1.50,50.49,   ,3464.46万,9.79%,5.00,   ,1.75,0.55,1.88,1.28,   ,170.78,2.86亿,10.28%,38.78%,   ,0.72,12.24%,32.17%
医药行业,ST康美,2005-09-30,0.55,0.87,   ,5350.94万,4.01%,--,9.74%,--,117.49,2.30,49.40,   ,5323.25万,3.21%,5.17,   ,1.92,0.94,1.88,1.06,   ,166.89,4.33亿,6.55%,35.28%,   ,0.60,12.36%,31.84%
医药行业,ST康美,2005-12-31,0.38,0.95,   ,7264.63万,2.02%,13.48%,12.67%,0.6840,112.50,3.20,48.99,   ,7044.98万,2.38%,5.40,   ,2.00,1.25,1.93,1.18,   ,161.49,5.85亿,5.70%,27.40%,   ,0.59,12.43%,31.38%
医药行业,ST康美,2006-03-31,0.65,0.96,   ,1748.12万,16.33%,--,2.96%,0.1650,110.04,0.82,47.68,   ,1748.22万,19.21%,5.57,   ,2.14,0.16,1.93,1.11,   ,157.72,1.54亿,16.09%,39.31%,   ,0.74,11.36%,31.33%
医药行业,ST康美,2006-06-30,0.74,0.85,   ,4716.99万,34.69%,7.90%,7.62%,0.2960,118.16,1.52,43.14,   ,4565.44万,31.78%,3.88,   ,1.48,0.08,1.09,1.07,   ,161.30,3.44亿,20.38%,42.58%,   ,0.66,13.70%,32.27%
医药行业,ST康美,2006-09-30,0.49,1.69,   ,7475.39万,39.70%,--,6.61%,0.3410,106.70,2.53,39.60,   ,7333.57万,37.76%,5.16,   ,1.20,0.19,2.73,1.94,   ,146.30,5.79亿,33.76%,32.78%,   ,1.53,12.91%,30.41%
医药行业,ST康美,2006-12-31,0.66,1.05,   ,1.00亿,37.66%,12.12%,8.64%,0.5400,101.53,3.55,37.37,   ,9818.27万,39.37%,5.27,   ,1.28,0.31,2.73,1.58,   ,138.90,8.26亿,41.22%,39.83%,   ,1.05,12.11%,29.15%
医药行业,ST康美,2007-03-31,0.47,1.00,   ,2241.54万,28.23%,--,1.91%,0.0340,111.87,0.80,35.79,   ,--,--,5.35,   ,1.34,0.14,2.73,1.77,   ,147.66,2.29亿,49.07%,31.88%,   ,1.00,9.77%,25.92%
医药行业,ST康美,2007-06-30,0.75,0.98,   ,6306.63万,33.70%,5.32%,5.20%,0.0960,89.06,2.02,29.91,   ,6263.03万,37.18%,2.77,   ,0.61,0.20,1.01,1.48,   ,118.96,5.98亿,73.53%,42.94%,   ,1.00,10.56%,25.53%
医药行业,ST康美,2007-09-30,0.42,1.99,   ,9978.26万,33.48%,--,4.39%,0.1520,88.33,3.06,29.50,   ,9936.77万,35.50%,4.46,   ,0.60,0.26,2.74,2.49,   ,117.83,9.31亿,60.78%,29.42%,   ,1.99,10.72%,25.88%
医药行业,ST康美,2007-12-31,0.38,1.86,   ,1.79亿,78.80%,9.86%,6.30%,0.2610,89.14,4.04,27.61,   ,1.36亿,38.12%,4.55,   ,0.66,0.32,2.74,2.44,   ,116.75,12.94亿,56.74%,27.57%,   ,1.86,11.29%,26.11%
医药行业,ST康美,2008-03-31,0.44,1.40,   ,6091.51万,171.76%,--,2.57%,0.0800,106.01,0.85,29.90,   ,6192.06万,--,3.11,   ,0.45,0.06,1.56,1.94,   ,135.90,3.29亿,43.40%,30.42%,   ,1.40,18.52%,26.95%
医药行业,ST康美,2008-06-30,0.50,3.05,   ,1.27亿,102.01%,5.05%,4.80%,0.0830,95.05,1.89,26.50,   ,1.30亿,107.85%,3.48,   ,0.53,0.09,1.84,3.71,   ,121.55,8.24亿,37.89%,33.26%,   ,3.05,15.46%,27.08%
医药行业,ST康美,2008-09-30,0.46,3.40,   ,1.83亿,83.04%,0.0000%,6.74%,0.1190,99.52,2.71,25.90,   ,1.85亿,86.62%,3.55,   ,0.61,0.13,1.84,4.29,   ,125.42,13.04亿,40.04%,31.41%,   ,3.40,14.01%,26.84%
